x,t = 15s,t = 30s,t = 60s,t = 90s,t = 150s,t = 210s
0.000724,36.5251,42.506,49.7261,53.5579,56.6788,57.5613
0.000728,36.5221,42.503,49.7232,53.5549,56.6759,57.5583
0.000732,36.5191,42.5001,49.7202,53.552,56.6729,57.5553
0.000736,36.5161,42.4971,49.7172,53.549,56.6699,57.5523
0.00074,36.5132,42.4941,49.7142,53.546,56.6669,57.5494
0.000744,36.5102,42.4911,49.7113,53.543,56.664,57.5464
0.000748,36.5072,42.4882,49.7083,53.5401,56.661,57.5434
0.000752,36.5043,42.4852,49.7053,53.5371,56.658,57.5404
0.000756,36.5013,42.4822,49.7023,53.5341,56.655,57.5375
0.00076,36.4983,42.4792,49.6994,53.5312,56.6521,57.5345
0.000764,36.4954,42.4763,49.6964,53.5282,56.6491,57.5315
0.000768,36.4924,42.4733,49.6934,53.5252,56.6461,57.5286
0.000772,36.4894,42.4703,49.6904,53.5222,56.6432,57.5256
0.000776,36.4865,42.4674,49.6875,53.5193,56.6402,57.5226
0.00078,36.4835,42.4644,49.6845,53.5163,56.6372,57.5196
0.000784,36.4805,42.4614,49.6815,53.5133,56.6342,57.5167
0.000788,36.4776,42.4584,49.6786,53.5104,56.6313,57.5137
0.000792,36.4746,42.4555,49.6756,53.5074,56.6283,57.5107
0.000796,36.4716,42.4525,49.6726,53.5044,56.6253,57.5078
0.0008,36.4687,42.4495,49.6697,53.5014,56.6224,57.5048
0.000804,36.4657,42.4466,49.6667,53.4985,56.6194,57.5018
0.000808,36.4628,42.4436,49.6637,53.4955,56.6164,57.4989
0.000812,36.4598,42.4406,49.6608,53.4925,56.6135,57.4959
0.000816,36.4568,42.4377,49.6578,53.4896,56.6105,57.4929
0.00082,36.4539,42.4347,49.6548,53.4866,56.6075,57.49
0.000824,36.4509,42.4317,49.6519,53.4836,56.6046,57.487
0.000828,36.4479,42.4288,49.6489,53.4807,56.6016,57.484
0.000832,36.445,42.4258,49.6459,53.4777,56.5986,57.4811
0.000836,36.442,42.4228,49.643,53.4747,56.5957,57.4781
0.00084,36.4391,42.4199,49.64,53.4718,56.5927,57.4751
0.000844,36.4361,42.4169,49.637,53.4688,56.5897,57.4722
0.000848,36.4332,42.4139,49.6341,53.4659,56.5868,57.4692
0.000852,36.4302,42.411,49.6311,53.4629,56.5838,57.4662
0.000856,36.4272,42.408,49.6281,53.4599,56.5808,57.4633
0.00086,36.4243,42.4051,49.6252,53.457,56.5779,57.4603
0.000864,36.4213,42.4021,49.6222,53.454,56.5749,57.4573
0.000868,36.4184,42.3991,49.6192,53.451,56.572,57.4544
0.000872,36.4154,42.3962,49.6163,53.4481,56.569,57.4514
0.000876,36.4125,42.3932,49.6133,53.4451,56.566,57.4485
0.00088,36.4095,42.3903,49.6104,53.4422,56.5631,57.4455
0.000884,36.4066,42.3873,49.6074,53.4392,56.5601,57.4425
0.000888,36.4036,42.3843,49.6044,53.4362,56.5572,57.4396
0.000892,36.4006,42.3814,49.6015,53.4333,56.5542,57.4366
0.000896,36.3977,42.3784,49.5985,53.4303,56.5512,57.4337
0.0009,36.3947,42.3755,49.5956,53.4274,56.5483,57.4307
0.000904,36.3918,42.3725,49.5926,53.4244,56.5453,57.4277
0.000908,36.3888,42.3695,49.5896,53.4214,56.5424,57.4248
0.000912,36.3859,42.3666,49.5867,53.4185,56.5394,57.4218
0.000916,36.3829,42.3636,49.5837,53.4155,56.5364,57.4189
0.00092,36.38,42.3607,49.5808,53.4126,56.5335,57.4159
0.000924,36.377,42.3577,49.5778,53.4096,56.5305,57.413
0.000928,36.3741,42.3548,49.5749,53.4067,56.5276,57.41
0.000932,36.3711,42.3518,49.5719,53.4037,56.5246,57.407
0.000936,36.3682,42.3488,49.569,53.4007,56.5217,57.4041
0.00094,36.3652,42.3459,49.566,53.3978,56.5187,57.4011
0.000944,36.3623,42.3429,49.563,53.3948,56.5158,57.3982
0.000948,36.3593,42.34,49.5601,53.3919,56.5128,57.3952
0.000952,36.3564,42.337,49.5571,53.3889,56.5098,57.3923
0.000956,36.3534,42.3341,49.5542,53.386,56.5069,57.3893
0.00096,36.3505,42.3311,49.5512,53.383,56.5039,57.3864
0.000964,36.3476,42.3282,49.5483,53.3801,56.501,57.3834
0.000968,36.3446,42.3252,49.5453,53.3771,56.498,57.3805
0.000972,36.3417,42.3223,49.5424,53.3742,56.4951,57.3775
0.000976,36.3387,42.3193,49.5394,53.3712,56.4921,57.3746
0.00098,36.3358,42.3164,49.5365,53.3683,56.4892,57.3716
0.000984,36.3328,42.3134,49.5335,53.3653,56.4862,57.3687
0.000988,36.3299,42.3105,49.5306,53.3624,56.4833,57.3657
0.000992,36.3269,42.3075,49.5276,53.3594,56.4803,57.3628
0.000996,36.324,42.3046,49.5247,53.3565,56.4774,57.3598
0.001,36.3211,42.3016,49.5217,53.3535,56.4744,57.3569
0.001004,36.3181,42.2987,49.5188,53.3506,56.4715,57.3539
0.001008,36.3152,42.2957,49.5158,53.3476,56.4685,57.351
0.001012,36.3122,42.2928,49.5129,53.3447,56.4656,57.348
0.001016,36.3093,42.2898,49.5099,53.3417,56.4626,57.3451
0.00102,36.3064,42.2869,49.507,53.3388,56.4597,57.3421
0.001024,36.3034,42.2839,49.504,53.3358,56.4567,57.3392
0.001028,36.3005,42.281,49.5011,53.3329,56.4538,57.3362
0.001032,36.2975,42.278,49.4981,53.3299,56.4509,57.3333
0.001036,36.2946,42.2751,49.4952,53.327,56.4479,57.3303
0.00104,36.2917,42.2722,49.4923,53.3241,56.445,57.3274
0.001044,36.2887,42.2692,49.4893,53.3211,56.442,57.3244
0.001048,36.2858,42.2663,49.4864,53.3182,56.4391,57.3215
0.001052,36.2829,42.2633,49.4834,53.3152,56.4361,57.3186
0.001056,36.2799,42.2604,49.4805,53.3123,56.4332,57.3156
0.00106,36.277,42.2574,49.4775,53.3093,56.4302,57.3127
0.001064,36.274,42.2545,49.4746,53.3064,56.4273,57.3097
0.001068,36.2711,42.2516,49.4717,53.3034,56.4244,57.3068
0.001072,36.2682,42.2486,49.4687,53.3005,56.4214,57.3038
0.001076,36.2652,42.2457,49.4658,53.2976,56.4185,57.3009
0.00108,36.2623,42.2427,49.4628,53.2946,56.4155,57.298
0.001084,36.2594,42.2398,49.4599,53.2917,56.4126,57.295
0.001088,36.2564,42.2369,49.4569,53.2887,56.4097,57.2921
0.001092,36.2535,42.2339,49.454,53.2858,56.4067,57.2891
0.001096,36.2506,42.231,49.4511,53.2829,56.4038,57.2862
0.0011,36.2476,42.228,49.4481,53.2799,56.4008,57.2833
0.001104,36.2447,42.2251,49.4452,53.277,56.3979,57.2803
0.001108,36.2418,42.2222,49.4423,53.274,56.395,57.2774
0.001112,36.2389,42.2192,49.4393,53.2711,56.392,57.2745
0.001116,36.2359,42.2163,49.4364,53.2682,56.3891,57.2715
0.00112,36.233,42.2134,49.4334,53.2652,56.3861,57.2686
0.001124,36.2301,42.2104,49.4305,53.2623,56.3832,57.2656
0.001128,36.2271,42.2075,49.4276,53.2594,56.3803,57.2627
0.001132,36.2242,42.2045,49.4246,53.2564,56.3773,57.2598
0.001136,36.2213,42.2016,49.4217,53.2535,56.3744,57.2568
0.00114,36.2184,42.1987,49.4188,53.2506,56.3715,57.2539
0.001144,36.2154,42.1957,49.4158,53.2476,56.3685,57.251
0.001148,36.2125,42.1928,49.4129,53.2447,56.3656,57.248
0.001152,36.2096,42.1899,49.41,53.2418,56.3627,57.2451
0.001156,36.2067,42.1869,49.407,53.2388,56.3597,57.2422
0.00116,36.2037,42.184,49.4041,53.2359,56.3568,57.2392
0.001164,36.2008,42.1811,49.4012,53.233,56.3539,57.2363
0.001168,36.1979,42.1781,49.3982,53.23,56.3509,57.2334
0.001172,36.195,42.1752,49.3953,53.2271,56.348,57.2304
0.001176,36.192,42.1723,49.3924,53.2242,56.3451,57.2275
0.00118,36.1891,42.1693,49.3894,53.2212,56.3421,57.2246
0.001184,36.1862,42.1664,49.3865,53.2183,56.3392,57.2216
0.001188,36.1833,42.1635,49.3836,53.2154,56.3363,57.2187
0.001192,36.1803,42.1606,49.3806,53.2124,56.3334,57.2158
0.001196,36.1774,42.1576,49.3777,53.2095,56.3304,57.2128
0.0012,36.1745,42.1547,49.3748,53.2066,56.3275,57.2099
0.001204,36.1716,42.1518,49.3719,53.2037,56.3246,57.207
0.001208,36.1687,42.1488,49.3689,53.2007,56.3216,57.2041
0.001212,36.1657,42.1459,49.366,53.1978,56.3187,57.2011
0.001216,36.1628,42.143,49.3631,53.1949,56.3158,57.1982
0.00122,36.1599,42.1401,49.3601,53.1919,56.3129,57.1953
0.001224,36.157,42.1371,49.3572,53.189,56.3099,57.1924
0.001228,36.1541,42.1342,49.3543,53.1861,56.307,57.1894
0.001232,36.1512,42.1313,49.3514,53.1832,56.3041,57.1865
0.001236,36.1482,42.1284,49.3484,53.1802,56.3011,57.1836
0.00124,36.1453,42.1254,49.3455,53.1773,56.2982,57.1807
0.001244,36.1424,42.1225,49.3426,53.1744,56.2953,57.1777
0.001248,36.1395,42.1196,49.3397,53.1715,56.2924,57.1748
0.001252,36.1366,42.1167,49.3367,53.1685,56.2895,57.1719
0.001256,36.1337,42.1137,49.3338,53.1656,56.2865,57.169
0.00126,36.1307,42.1108,49.3309,53.1627,56.2836,57.166
0.001264,36.1278,42.1079,49.328,53.1598,56.2807,57.1631
0.001268,36.1249,42.105,49.3251,53.1568,56.2778,57.1602
0.001272,36.122,42.1021,49.3221,53.1539,56.2748,57.1573
0.001276,36.1191,42.0991,49.3192,53.151,56.2719,57.1543
0.00128,36.1162,42.0962,49.3163,53.1481,56.269,57.1514
0.001284,36.1133,42.0933,49.3134,53.1452,56.2661,57.1485
0.001288,36.1104,42.0904,49.3104,53.1422,56.2632,57.1456
