x,numeric,exacte
0.001984,56.9913,56.9857
0.001988,56.9884,56.9829
0.001992,56.9856,56.98
0.001996,56.9827,56.9772
0.002,56.9799,56.9743
0.002004,56.977,56.9715
0.002008,56.9742,56.9686
0.002012,56.9713,56.9658
0.002016,56.9685,56.9629
0.00202,56.9656,56.9601
0.002024,56.9628,56.9572
0.002028,56.9599,56.9544
0.002032,56.9571,56.9515
0.002036,56.9542,56.9487
0.00204,56.9514,56.9458
0.002044,56.9486,56.943
0.002048,56.9457,56.9402
0.002052,56.9429,56.9373
0.002056,56.94,56.9345
0.00206,56.9372,56.9316
0.002064,56.9343,56.9288
0.002068,56.9315,56.9259
0.002072,56.9286,56.9231
0.002076,56.9258,56.9202
0.00208,56.923,56.9174
0.002084,56.9201,56.9146
0.002088,56.9173,56.9117
0.002092,56.9144,56.9089
0.002096,56.9116,56.906
0.0021,56.9087,56.9032
0.002104,56.9059,56.9004
0.002108,56.9031,56.8975
0.002112,56.9002,56.8947
0.002116,56.8974,56.8918
0.00212,56.8945,56.889
0.002124,56.8917,56.8862
0.002128,56.8889,56.8833
0.002132,56.886,56.8805
0.002136,56.8832,56.8777
0.00214,56.8804,56.8748
0.002144,56.8775,56.872
0.002148,56.8747,56.8691
0.002152,56.8719,56.8663
0.002156,56.869,56.8635
0.00216,56.8662,56.8606
0.002164,56.8633,56.8578
0.002168,56.8605,56.855
0.002172,56.8577,56.8521
0.002176,56.8548,56.8493
0.00218,56.852,56.8465
0.002184,56.8492,56.8436
0.002188,56.8463,56.8408
0.002192,56.8435,56.838
0.002196,56.8407,56.8351
0.0022,56.8379,56.8323
0.002204,56.835,56.8295
0.002208,56.8322,56.8266
0.002212,56.8294,56.8238
0.002216,56.8265,56.821
0.00222,56.8237,56.8182
0.002224,56.8209,56.8153
0.002228,56.818,56.8125
0.002232,56.8152,56.8097
0.002236,56.8124,56.8068
0.00224,56.8096,56.804
0.002244,56.8067,56.8012
0.002248,56.8039,56.7984
0.002252,56.8011,56.7955
0.002256,56.7983,56.7927
0.00226,56.7954,56.7899
0.002264,56.7926,56.7871
0.002268,56.7898,56.7842
0.002272,56.787,56.7814
0.002276,56.7841,56.7786
0.00228,56.7813,56.7758
0.002284,56.7785,56.7729
0.002288,56.7757,56.7701
0.002292,56.7728,56.7673
0.002296,56.77,56.7645
0.0023,56.7672,56.7617
0.002304,56.7644,56.7588
0.002308,56.7616,56.756
0.002312,56.7587,56.7532
0.002316,56.7559,56.7504
0.00232,56.7531,56.7476
0.002324,56.7503,56.7447
0.002328,56.7475,56.7419
0.002332,56.7446,56.7391
0.002336,56.7418,56.7363
0.00234,56.739,56.7335
0.002344,56.7362,56.7307
0.002348,56.7334,56.7278
0.002352,56.7306,56.725
0.002356,56.7277,56.7222
0.00236,56.7249,56.7194
0.002364,56.7221,56.7166
0.002368,56.7193,56.7138
0.002372,56.7165,56.7109
0.002376,56.7137,56.7081
0.00238,56.7109,56.7053
0.002384,56.708,56.7025
0.002388,56.7052,56.6997
0.002392,56.7024,56.6969
0.002396,56.6996,56.6941
0.0024,56.6968,56.6913
0.002404,56.694,56.6884
0.002408,56.6912,56.6856
0.002412,56.6884,56.6828
0.002416,56.6856,56.68
0.00242,56.6827,56.6772
0.002424,56.6799,56.6744
0.002428,56.6771,56.6716
0.002432,56.6743,56.6688
0.002436,56.6715,56.666
0.00244,56.6687,56.6632
0.002444,56.6659,56.6604
0.002448,56.6631,56.6576
0.002452,56.6603,56.6547
0.002456,56.6575,56.6519
0.00246,56.6547,56.6491
0.002464,56.6519,56.6463
0.002468,56.6491,56.6435
0.002472,56.6462,56.6407
0.002476,56.6434,56.6379
0.00248,56.6406,56.6351
0.002484,56.6378,56.6323
0.002488,56.635,56.6295
0.002492,56.6322,56.6267
0.002496,56.6294,56.6239
0.0025,56.6266,56.6211
0.002504,56.6238,56.6183
0.002508,56.621,56.6155
0.002512,56.6182,56.6127
0.002516,56.6154,56.6099
0.00252,56.6126,56.6071
0.002524,56.6098,56.6043
0.002528,56.607,56.6015
0.002532,56.6042,56.5987
0.002536,56.6014,56.5959
0.00254,56.5986,56.5931
0.002544,56.5958,56.5903
0.002548,56.593,56.5875
0.002552,56.5902,56.5847
0.002556,56.5874,56.5819
0.00256,56.5846,56.5791
0.002564,56.5818,56.5763
0.002568,56.5791,56.5735
0.002572,56.5763,56.5707
0.002576,56.5735,56.5679
0.00258,56.5707,56.5651
0.002584,56.5679,56.5623
0.002588,56.5651,56.5596
