t,x0,xM/2,xM
208,58.4498,47.7036,44.4178
208.5,58.4499,47.7037,44.4179
209,58.45,47.7038,44.418
209.5,58.4501,47.7039,44.4181
210,58.4502,47.704,44.4182
210.5,58.4503,47.7041,44.4183
211,58.4504,47.7042,44.4184
211.5,58.4505,47.7043,44.4184
212,58.4505,47.7043,44.4185
212.5,58.4506,47.7044,44.4186
213,58.4507,47.7045,44.4187
213.5,58.4508,47.7046,44.4188
214,58.4509,47.7047,44.4188
214.5,58.4509,47.7047,44.4189
215,58.451,47.7048,44.419
215.5,58.4511,47.7049,44.4191
216,58.4511,47.7049,44.4191
216.5,58.4512,47.705,44.4192
217,58.4513,47.7051,44.4193
217.5,58.4513,47.7051,44.4193
218,58.4514,47.7052,44.4194
218.5,58.4515,47.7053,44.4194
219,58.4515,47.7053,44.4195
219.5,58.4516,47.7054,44.4196
220,58.4516,47.7054,44.4196
220.5,58.4517,47.7055,44.4197
221,58.4518,47.7056,44.4197
221.5,58.4518,47.7056,44.4198
222,58.4519,47.7057,44.4198
222.5,58.4519,47.7057,44.4199
223,58.452,47.7058,44.42
223.5,58.452,47.7058,44.42
224,58.4521,47.7059,44.4201
224.5,58.4521,47.7059,44.4201
225,58.4522,47.706,44.4201
225.5,58.4522,47.706,44.4202
226,58.4523,47.7061,44.4202
226.5,58.4523,47.7061,44.4203
227,58.4523,47.7061,44.4203
227.5,58.4524,47.7062,44.4204
228,58.4524,47.7062,44.4204
228.5,58.4525,47.7063,44.4205
229,58.4525,47.7063,44.4205
229.5,58.4525,47.7064,44.4205
230,58.4526,47.7064,44.4206
230.5,58.4526,47.7064,44.4206
231,58.4527,47.7065,44.4206
231.5,58.4527,47.7065,44.4207
232,58.4527,47.7065,44.4207
232.5,58.4528,47.7066,44.4207
233,58.4528,47.7066,44.4208
233.5,58.4528,47.7066,44.4208
234,58.4529,47.7067,44.4208
234.5,58.4529,47.7067,44.4209
235,58.4529,47.7067,44.4209
235.5,58.453,47.7068,44.4209
236,58.453,47.7068,44.421
236.5,58.453,47.7068,44.421
